Date,Symbol,amountNet,interestPaid,dividendRecd,premiumNet,currentShares,basisShares,basisPerShare,marketPrice,sharesBought,sharesSold,txPrice
2023-03-31,AGNC,$-14908.55," "," "," ",1500.0,$-14908.55,$-9.94,"=stockhistory(B2,A2,,0,0,1)",1500.0," ",$-9.94
2023-04-01,AGNC," ",$-2.07," "," ",1500.0,$-14910.62,$-9.94,"=stockhistory(B3,A3,,0,0,1)"," "," "," "
2023-04-04,AGNC,$9959.92,$-6.21," "," ",500.0,$-4956.91,$-9.91,"=stockhistory(B4,A4,,0,0,1)"," ",1000.0,$-9.96
2023-04-06,AGNC,$5144.95,$-1.38," "," "," ",$186.66,,"=stockhistory(B5,A5,,0,0,1)"," ",500.0,$-10.29
2023-05-01,AGNC," ",$0.65," "," "," ",$187.31,,"=stockhistory(B6,A6,,0,0,1)"," "," "," "
2023-06-01,AGNC," ",$0.81," "," "," ",$188.11,,"=stockhistory(B7,A7,,0,0,1)"," "," "," "
2023-07-01,AGNC," ",$0.78," "," "," ",$188.90,,"=stockhistory(B8,A8,,0,0,1)"," "," "," "
2023-08-01,AGNC,$-5075.00,$0.81," "," ",500.0,$-4885.29,$-9.77,"=stockhistory(B9,A9,,0,0,1)",500.0," ",$-10.15
2023-08-09,AGNC,$-4995.00,$-5.43," "," ",1000.0,$-9885.72,$-9.89,"=stockhistory(B10,A10,,0,0,1)",500.0," ",$-9.99
2023-08-16,AGNC,$-960.00,$-9.61," "," ",1100.0,$-10855.33,$-9.87,"=stockhistory(B11,A11,,0,0,1)",100.0," ",$-9.60
2023-08-18,AGNC,$-4699.51,$-3.02," "," ",1600.0,$-15557.85,$-9.72,"=stockhistory(B12,A12,,0,0,1)",500.0," ",$-9.40
2023-08-22,AGNC,$-1896.00,$-8.64," "," ",1800.0,$-17462.50,$-9.70,"=stockhistory(B13,A13,,0,0,1)",200.0," ",$-9.48
2023-09-01,AGNC," ",$-24.25," "," ",1800.0,$-17486.75,$-9.71,"=stockhistory(B14,A14,,0,0,1)"," "," "," "
2023-09-12,AGNC," ",$-26.72,$216.00," ",1800.0,$-17297.47,$-9.61,"=stockhistory(B15,A15,,0,0,1)"," "," "," "
2023-09-13,AGNC,$-6825.00,$-2.40," "," ",2500.0,$-24124.87,$-9.65,"=stockhistory(B16,A16,,0,0,1)",700.0," ",$-9.75
2023-09-19,AGNC,$5124.95,$-20.10," "," ",2000.0,$-19020.02,$-9.51,"=stockhistory(B17,A17,,0,0,1)"," ",500.0,$-10.25
2023-09-29,AGNC,$1909.98,$-26.42," "," ",1800.0,$-17136.46,$-9.52,"=stockhistory(B18,A18,,0,0,1)"," ",200.0,$-9.55
2023-10-01,AGNC," ",$-4.76," "," ",1800.0,$-17141.22,$-9.52,"=stockhistory(B19,A19,,0,0,1)"," "," "," "
2023-10-11,AGNC," ",$-23.81,$240.00," ",1800.0,$-16925.03,$-9.40,"=stockhistory(B20,A20,,0,0,1)"," "," "," "
2023-10-16,AGNC,$-895.00,$-11.75," "," ",1900.0,$-17831.78,$-9.39,"=stockhistory(B21,A21,,0,0,1)",100.0," ",$-8.95
2023-10-17,AGNC,$-442.50,$-2.48," "," ",1950.0,$-18276.76,$-9.37,"=stockhistory(B22,A22,,0,0,1)",50.0," ",$-8.85
2023-10-18,AGNC,$-437.50,$-2.54," "," ",2000.0,$-18716.79,$-9.36,"=stockhistory(B23,A23,,0,0,1)",50.0," ",$-8.75
