037636107,400,13.31,01/01/2024
376535100,-13300,2.74,01/01/2024
AGNC,6000,8.48,01/01/2024
C,1000,56.48,01/01/2024
CPA,500,109.63,01/01/2024
CVX,400,151.00,01/01/2024
DINO,900.00000000000000000000000000000000000000000000000000000,48.52,01/01/2024
DSX,3000,2.10,01/01/2024
EFC,4500,11.68,01/01/2024
EPR,1000,34.37,01/01/2024
EXP,100,242.72,01/01/2024
FEPI,1250,49.44,01/01/2024
GCT,1500,22.48,01/01/2024
GLAD,18300,7.12,01/01/2024
IBKR,100,116.51,01/01/2024
IBM,100,184.86,01/01/2024
ICHR,200,36.11,01/01/2024
IEP,300,15.95,01/01/2024
IMNM,1000,16.28,01/01/2024
JEPQ,1500,46.63,01/01/2024
KRC,400,29.23,01/01/2024
L0C990030,-1744,1.00,01/01/2024
LFMD,1000,7.73,01/01/2024
MAIN,1500,39.40,01/01/2024
MARA,500,16.92,01/01/2024
MEGI,1300,11.31,01/01/2024
MFIC,381,1.00,01/01/2024
MRCC,1700,7.09,01/01/2024
NRO,2000,3.20,01/01/2024
O,7400,52.61,01/01/2024
OXLC,10000,4.47,01/01/2024
OXY,500,58.78,01/01/2024
PCTY,200,145.36,01/01/2024
PDI,1000,16.04,01/01/2024
PDO,2000,11.79,01/01/2024
PFLT,2500,9.08,01/01/2024
PLAB,400,22.19,01/01/2024
PLTR,500,6.71,01/01/2024
PNNT,5000,5.41,01/01/2024
QYLD,4000,16.80,01/01/2024
RNP,500,16.78,01/01/2024
ROOT,300,36.14,01/01/2024
SCM,3800,13.07,01/01/2024
SDGR,200,22.46,01/01/2024
SM,600,45.63,01/01/2024
SOUN,5000,3.57,01/01/2024
SPE,2000,11.13,01/01/2024
SPXS,3000,7.60,01/01/2024
TQQQ,200,11.30,01/01/2024
TREX,200,76.90,01/01/2024
USFD,200,49.11,01/01/2024
USOI,650,72.61,01/01/2024
VGT,100,499.48,01/01/2024
VICI,700,26.97,01/01/2024
VLO,100,77.26,01/01/2024
WPC,2000,59.27,01/01/2024
XFLT,1500,6.95,01/01/2024
XLE,400,86.72,01/01/2024
